"filename", "language", "Python", "HTML", "XML", "CSS", "JavaScript", "comment", "blank", "total"
"c:\Users\mrgam\Desktop\Computer Science Coursework\.idea\Computer Science Coursework.iml", "XML", 0, 0, 22, 0, 0, 0, 0, 22
"c:\Users\mrgam\Desktop\Computer Science Coursework\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 6
"c:\Users\mrgam\Desktop\Computer Science Coursework\.idea\misc.xml", "XML", 0, 0, 4, 0, 0, 0, 0, 4
"c:\Users\mrgam\Desktop\Computer Science Coursework\.idea\modules.xml", "XML", 0, 0, 8, 0, 0, 0, 0, 8
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\QuizClass.py", "Python", 116, 0, 0, 0, 0, 28, 44, 188
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\__init__.py", "Python", 175, 0, 0, 0, 0, 70, 76, 321
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\auth.py", "Python", 86, 0, 0, 0, 0, 4, 24, 114
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\dashboard.py", "Python", 48, 0, 0, 0, 0, 4, 16, 68
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\db.py", "Python", 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\quiz.py", "Python", 53, 0, 0, 0, 0, 8, 19, 80
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\OLD-landing_style.css", "CSS", 0, 0, 0, 100, 0, 3, 14, 117
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\auth_style.css", "CSS", 0, 0, 0, 220, 0, 3, 23, 246
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\create-quiz.js", "JavaScript", 0, 0, 0, 0, 9, 3, 2, 14
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\dashboard_js.js", "JavaScript", 0, 0, 0, 0, 26, 5, 9, 40
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\dashboard_style.css", "CSS", 0, 0, 0, 900, 0, 16, 54, 970
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\forgetpassword.css", "CSS", 0, 0, 0, 71, 0, 0, 9, 80
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\landing.css", "CSS", 0, 0, 0, 165, 0, 2, 18, 185
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\landing.js", "JavaScript", 0, 0, 0, 0, 9, 0, 1, 10
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\quizzes.css", "CSS", 0, 0, 0, 698, 0, 5, 36, 739
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\register.js", "JavaScript", 0, 0, 0, 0, 180, 12, 31, 223
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\root.css", "CSS", 0, 0, 0, 15, 0, 0, 2, 17
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\student-quiz.js", "JavaScript", 0, 0, 0, 0, 131, 9, 30, 170
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\student_quiz_style.css", "CSS", 0, 0, 0, 321, 0, 2, 26, 349
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\teacher-quiz.js", "JavaScript", 0, 0, 0, 0, 29, 3, 8, 40
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\teacher_quiz_style.css", "CSS", 0, 0, 0, 128, 0, 0, 7, 135
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\uploads\Arrow.svg", "XML", 0, 0, 2, 0, 0, 1, 0, 3
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\uploads\LandingBackgroundLeft1.svg", "XML", 0, 0, 2, 0, 0, 1, 0, 3
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\uploads\LandingBackgroundRight1.svg", "XML", 0, 0, 2, 0, 0, 1, 0, 3
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\uploads\LandingBackgroundRight2.svg", "XML", 0, 0, 2, 0, 0, 1, 0, 3
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\uploads\LandingTextUnderline.svg", "XML", 0, 0, 2, 0, 0, 1, 0, 3
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\uploads\Logo.svg", "XML", 0, 0, 2, 0, 0, 1, 0, 3
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\uploads\SidebarWave.svg", "XML", 0, 0, 2, 0, 0, 1, 0, 3
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\404.html", "HTML", 0, 91, 0, 0, 0, 0, 5, 96
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\auth\forgotpassword.html", "HTML", 0, 29, 0, 0, 0, 0, 5, 34
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\auth\login.html", "HTML", 0, 45, 0, 0, 0, 21, 12, 78
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\auth\register.html", "HTML", 0, 141, 0, 0, 0, 0, 24, 165
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\dashboard\base.html", "HTML", 0, 84, 0, 0, 0, 22, 13, 119
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\dashboard\classes.html", "HTML", 0, 126, 0, 0, 0, 43, 9, 178
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\dashboard\home.html", "HTML", 0, 11, 0, 0, 0, 15, 4, 30
