"filename", "language", "JavaScript", "CSS", "Python", "HTML", "comment", "blank", "total"
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\QuizClass.py", "Python", 0, 0, 40, 0, 18, 20, 78
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\__init__.py", "Python", 0, 0, 44, 0, 3, 16, 63
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\auth.py", "Python", 0, 0, 9, 0, 4, 4, 17
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\dashboard.py", "Python", 0, 0, 133, 0, 34, 58, 225
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\create-quiz.js", "JavaScript", 7, 0, 0, 0, 1, 3, 11
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\dashboard_js.js", "JavaScript", -7, 0, 0, 0, 7, 0, 0
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\dashboard_style.css", "CSS", 0, 368, 0, 0, 1, 11, 380
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\quizzes.css", "CSS", 0, 88, 0, 0, 0, 4, 92
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\student-quiz.js", "JavaScript", 48, 0, 0, 0, 0, 13, 61
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\student_quiz_style.css", "CSS", 0, 88, 0, 0, 13, 4, 105
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\teacher-quiz.js", "JavaScript", 46, 0, 0, 0, 1, 10, 57
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\teacher_quiz_style.css", "CSS", 0, 147, 0, 0, 18, 8, 173
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\auth\login.html", "HTML", 0, 0, 0, -6, 0, -1, -7
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\auth\register.html", "HTML", 0, 0, 0, -6, 0, -1, -7
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\dashboard\base.html", "HTML", 0, 0, 0, 5, 0, 0, 5
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\dashboard\classes.html", "HTML", 0, 0, 0, 13, 2, 0, 15
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\dashboard\review.html", "HTML", 0, 0, 0, 10, 0, 1, 11
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\dashboard\settings.html", "HTML", 0, 0, 0, 50, -27, 3, 26
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\dashboard\single_class.html", "HTML", 0, 0, 0, 24, 0, 1, 25
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\dashboard\single_class_edit.html", "HTML", 0, 0, 0, 101, 0, 20, 121
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\dashboard\single_review.html", "HTML", 0, 0, 0, 202, 83, 23, 308
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\quiz\create.html", "HTML", 0, 0, 0, 18, 0, 1, 19
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\quiz\quizzes.html", "HTML", 0, 0, 0, 2, 0, 0, 2
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\quiz\student.html", "HTML", 0, 0, 0, 4, 13, -1, 16
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\quiz\teacher.html", "HTML", 0, 0, 0, 20, 24, 0, 44
"Total", "-", 94, 691, 226, 437, 195, 197, 1840
