"filename", "language", "Python", "CSS", "JavaScript", "XML", "HTML", "comment", "blank", "total"
"c:\Users\mrgam\Desktop\Computer Science Coursework\.idea\Computer Science Coursework.iml", "XML", 0, 0, 0, 22, 0, 0, 0, 22
"c:\Users\mrgam\Desktop\Computer Science Coursework\.idea\inspectionProfiles\profiles_settings.xml", "XML", 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\mrgam\Desktop\Computer Science Coursework\.idea\misc.xml", "XML", 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\mrgam\Desktop\Computer Science Coursework\.idea\modules.xml", "XML", 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\QuizClass.py", "Python", 156, 0, 0, 0, 0, 46, 64, 266
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\__init__.py", "Python", 219, 0, 0, 0, 0, 73, 92, 384
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\auth.py", "Python", 95, 0, 0, 0, 0, 8, 28, 131
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\dashboard.py", "Python", 181, 0, 0, 0, 0, 38, 74, 293
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\db.py", "Python", 15, 0, 0, 0, 0, 0, 5, 20
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\quiz.py", "Python", 53, 0, 0, 0, 0, 8, 19, 80
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\OLD-landing_style.css", "CSS", 0, 100, 0, 0, 0, 3, 14, 117
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\auth_style.css", "CSS", 0, 220, 0, 0, 0, 3, 23, 246
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\create-quiz.js", "JavaScript", 0, 0, 16, 0, 0, 4, 5, 25
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\dashboard_js.js", "JavaScript", 0, 0, 19, 0, 0, 12, 9, 40
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\dashboard_style.css", "CSS", 0, 1268, 0, 0, 0, 17, 65, 1350
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\forgetpassword.css", "CSS", 0, 71, 0, 0, 0, 0, 9, 80
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\landing.css", "CSS", 0, 165, 0, 0, 0, 2, 18, 185
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\landing.js", "JavaScript", 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\quizzes.css", "CSS", 0, 786, 0, 0, 0, 5, 40, 831
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\register.js", "JavaScript", 0, 0, 180, 0, 0, 12, 31, 223
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\root.css", "CSS", 0, 15, 0, 0, 0, 0, 2, 17
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\student-quiz.js", "JavaScript", 0, 0, 179, 0, 0, 9, 43, 231
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\student_quiz_style.css", "CSS", 0, 409, 0, 0, 0, 15, 30, 454
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\teacher-quiz.js", "JavaScript", 0, 0, 75, 0, 0, 4, 18, 97
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\teacher_quiz_style.css", "CSS", 0, 275, 0, 0, 0, 18, 15, 308
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\uploads\Arrow.svg", "XML", 0, 0, 0, 2, 0, 1, 0, 3
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\uploads\LandingBackgroundLeft1.svg", "XML", 0, 0, 0, 2, 0, 1, 0, 3
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\uploads\LandingBackgroundRight1.svg", "XML", 0, 0, 0, 2, 0, 1, 0, 3
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\uploads\LandingBackgroundRight2.svg", "XML", 0, 0, 0, 2, 0, 1, 0, 3
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\uploads\LandingTextUnderline.svg", "XML", 0, 0, 0, 2, 0, 1, 0, 3
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\uploads\Logo.svg", "XML", 0, 0, 0, 2, 0, 1, 0, 3
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\uploads\SidebarWave.svg", "XML", 0, 0, 0, 2, 0, 1, 0, 3
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\404.html", "HTML", 0, 0, 0, 0, 91, 0, 5, 96
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\auth\forgotpassword.html", "HTML", 0, 0, 0, 0, 29, 0, 5, 34
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\auth\login.html", "HTML", 0, 0, 0, 0, 39, 21, 11, 71
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\auth\register.html", "HTML", 0, 0, 0, 0, 135, 0, 23, 158
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\dashboard\base.html", "HTML", 0, 0, 0, 0, 89, 22, 13, 124
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\dashboard\classes.html", "HTML", 0, 0, 0, 0, 139, 45, 9, 193
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\dashboard\home.html", "HTML", 0, 0, 0, 0, 11, 15, 4, 30
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\dashboard\review.html", "HTML", 0, 0, 0, 0, 14, 0, 4, 18
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\dashboard\settings.html", "HTML", 0, 0, 0, 0, 89, 0, 9, 98
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\dashboard\single_class.html", "HTML", 0, 0, 0, 0, 50, 0, 7, 57
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\dashboard\single_class_edit.html", "HTML", 0, 0, 0, 0, 101, 0, 20, 121
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\dashboard\single_review.html", "HTML", 0, 0, 0, 0, 202, 83, 23, 308
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\index.html", "HTML", 0, 0, 0, 0, 65, 0, 8, 73
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\old_index.html", "HTML", 0, 0, 0, 0, 39, 7, 7, 53
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\quiz\create.html", "HTML", 0, 0, 0, 0, 191, 0, 25, 216
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\quiz\quizzes.html", "HTML", 0, 0, 0, 0, 60, 0, 5, 65
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\quiz\sandbox.html", "HTML", 0, 0, 0, 0, 38, 0, 5, 43
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\quiz\single_quiz.html", "HTML", 0, 0, 0, 0, 151, 0, 21, 172
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\quiz\student.html", "HTML", 0, 0, 0, 0, 101, 17, 12, 130
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\quiz\teacher.html", "HTML", 0, 0, 0, 0, 109, 24, 7, 140
"c:\Users\mrgam\Desktop\Computer Science Coursework\instance\config.py", "Python", 6, 0, 0, 0, 0, 0, 1, 7
"c:\Users\mrgam\Desktop\Computer Science Coursework\setup.py", "Python", 10, 0, 0, 0, 0, 0, 1, 11
"Total", "-", 735, 3309, 478, 54, 1743, 518, 830, 7667
