"filename", "language", "Python", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\__init__.py", "Python", -173, 0, 0, 80, -32, -125
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\auth.py", "Python", -2, 0, 0, 18, 3, 19
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\dashboard.py", "Python", 3, 0, 0, 12, 1, 16
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\quiz.py", "Python", 167, 0, 0, 34, 62, 263
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\auth_style.css", "CSS", 0, -13, 0, -1, -2, -16
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\dashboard_style.css", "CSS", 0, -15, 0, 0, -2, -17
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\forgetpassword.css", "CSS", 0, -10, 0, 0, -1, -11
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\landing.css", "CSS", 0, -9, 0, 0, -1, -10
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\quizzes.css", "CSS", 0, -13, 0, 0, -2, -15
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\root.css", "CSS", 0, 8, 0, 0, 3, 11
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\static\student_quiz_style.css", "CSS", 0, -13, 0, 0, -2, -15
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\auth\login.html", "HTML", 0, 0, -3, 0, 0, -3
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\dashboard\single_class_edit.html", "HTML", 0, 0, 8, 0, 1, 9
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\dashboard\single_review.html", "HTML", 0, 0, -1, 0, 0, -1
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\quiz\quizzes.html", "HTML", 0, 0, -3, 1, 0, -2
"c:\Users\mrgam\Desktop\Computer Science Coursework\Qearn\templates\quiz\single_quiz.html", "HTML", 0, 0, 1, 0, 0, 1
"Total", "-", -5, -65, 2, 144, 28, 104
